LUM_Code,LUM_label,GLOBIOM_UNFCCC,GLOBIOM_mngmt,BIOCLIMA3_LU,BIOCLIMA3_mngmt,ETL2_augmented,ETL2_aug_abbr,BIOCLIMA_DS_intermediate,BIOCLIMA_DS_reporting,AgMIP_label,GLOBIOM_subclass,GLOBIOM_subclass_nest,BMLEH_Los1_label
30,Infrastructure,Urban,"",Urban,"",Urban,URBN,Urban,Urban,Built_up_area,Urban_TI,Urban,Built_up_area
31,Other urban,Urban,"",Urban,"",Urban,URBN,Urban,Urban,Built_up_area,Urban_other,Urban,Built_up_area
321,Natural grasslands,Natural_unmanaged,"",Natural_unmanaged,"",Grassland,GRSL,Natural_unmanaged,Grassland_1_unmanaged,Natural_unmanaged,Natural_grassland,Natural,Natural_unmanaged
322,Moors and heathland,Natural_unmanaged,"",Natural_unmanaged,"",Heathland and shrub,HEAS,Natural_unmanaged,Natural_1_shrubland,Natural_unmanaged,Natural_shrubland,Natural,Natural_unmanaged
323,Sclerophyllous vegetation,Natural_unmanaged,"",Natural_unmanaged,"",Heathland and shrub,HEAS,Natural_unmanaged,Natural_1_shrubland,Natural_unmanaged,Natural_shrubland,Natural,Natural_unmanaged
324,Transitional woodland-shrub,Natural_unmanaged,"",Natural_unmanaged,"",Woodland and forest,WOFO,Natural_unmanaged,Natural_1_shrubland,Natural_unmanaged,Natural_shrubland,Natural,Natural_unmanaged
3200,Natural protected,Natural_protected,"",Natural_unmanaged,"",Heathland and shrub,HEAS,"","","",Natural_protected,Natural,""
331,Beaches - dunes - sands,Natural_other,"",Natural_other,"",Sparsely vegetated areas,SPVA,Natural_other,Natural_other_beaches,Natural_other,Natural_other,Natural,Natural_other
332,Bare rocks,Natural_other,"",Natural_other,"",Sparsely vegetated areas,SPVA,Natural_other,Natural_other_rocks,Natural_other,Natural_other,Natural,Natural_other
333,Sparsely vegetated areas,Natural_other,"",Natural_other,"",Sparsely vegetated areas,SPVA,Natural_other,Natural_other_sparse,Natural_other,Natural_other,Natural,Natural_other
334,Burnt areas,Natural_other,"",Natural_other,"",Sparsely vegetated areas,SPVA,Natural_other,Natural_other_burnt,Natural_other,Natural_other,Natural,Natural_other
335,Glaciers and perpetual snow,Natural_other,"",Natural_other,"",Sparsely vegetated areas,SPVA,Natural_other,Natural_other_ice,Natural_other,Natural_other,Natural,Natural_other
411,Inland marshes,Wetlands_natural,"",Wetlands_natural,"",Wetlands,WTLN,Wetlands_natural,Wetlands_natural,Wetlands_natural,Wetlands_natural,Natural,Wetlands_natural
412,Peat bogs,Wetlands_natural,"",Wetlands_natural,"",Wetlands,WTLN,Wetlands_natural,Wetlands_natural,Wetlands_natural,Wetlands_natural,Natural,Wetlands_natural
421,Salt marshes,Waterbodies_marine,"",Waterbodies_marine,"",Marine inlets and transitional waters,MITW,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies,Waterbodies_marine
422,Salines,Waterbodies_marine,"",Waterbodies_marine,"",Marine inlets and transitional waters,MITW,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies,Waterbodies_marine
423,Intertidal flats,Waterbodies_marine,"",Waterbodies_marine,"",Marine inlets and transitional waters,MITW,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies,Waterbodies_marine
424,Maximum floodplain extent,Wetlands_potential,"",Wetlands_potential,"",Wetlands,WTLN,Wetlands_potential,Wetlands_potential,Wetlands_potential,Wetlands_potential,Natural,Wetlands_potential
425,Potential floodplain extent,Wetlands_potential,"",Wetlands_potential,"",Wetlands,WTLN,Wetlands_potential,Wetlands_potential,Wetlands_potential,Wetlands_potential,Natural,Wetlands_potential
426,Actual floodplain extent,Wetlands_natural,"",Wetlands_natural,"",Wetlands,WTLN,Wetlands_natural,Wetlands_natural,Wetlands_natural,Wetlands_natural,Natural,Wetlands_natural
427,"Other wetland, most likely mineral wetland",Wetlands_natural,"",Wetlands_natural,"",Wetlands,WTLN,Wetlands_natural,Wetlands_natural,Wetlands_natural,Wetlands_natural,Natural,Wetlands_natural
511,Water courses,Waterbodies_inland,"",Waterbodies_inland,"",Rivers and lakes,RILA,Waterbodies_inland,Waterbodies_inland,Waterbodies_inland,Waterbodies_inland,Waterbodies,Waterbodies_inland
512,Water bodies,Waterbodies_inland,"",Waterbodies_inland,"",Rivers and lakes,RILA,Waterbodies_inland,Waterbodies_inland,Waterbodies_inland,Waterbodies_inland,Waterbodies,Waterbodies_inland
521,Coastal lagoons,Waterbodies_marine,"",Waterbodies_marine,"",Marine inlets and transitional waters,MITW,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies,Waterbodies_marine
522,Estuaries,Waterbodies_marine,"",Waterbodies_marine,"",Marine inlets and transitional waters,MITW,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies,Waterbodies_marine
523,Sea and ocean,Waterbodies_marine,"",Waterbodies_marine,"",Marine,MARI,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies_marine,Waterbodies,Waterbodies_marine
2001,Arable very low intensity,Cropland,LI,Cropland_arable,2_low,Arable cropland,ACRP,Cropland_arable_2_low,Cropland_arable_2_low,Cropland_arable_other,Cropland_LI,Cropland,Cropland_arable_other
2002,Arable low intensity,Cropland,LI,Cropland_arable,2_low,Arable cropland,ACRP,Cropland_arable_2_low,Cropland_arable_2_low,Cropland_arable_other,Cropland_LI,Cropland,Cropland_arable_other
2003,Arable medium intensity,Cropland,LI,Cropland_arable,3_medium,Arable cropland,ACRP,Cropland_arable_3_medium,Cropland_arable_3_medium,Cropland_arable_other,Cropland_LI,Cropland,Cropland_arable_other
2004,Arable high intensity,Cropland,HI,Cropland_arable,4_high,Arable cropland,ACRP,Cropland_arable_4_high,Cropland_arable_4_high,Cropland_arable_other,Cropland_HI,Cropland,Cropland_arable_other
2005,Arable very high intensity,Cropland,HI,Cropland_arable,4_high,Arable cropland,ACRP,Cropland_arable_4_high,Cropland_arable_4_high,Cropland_arable_other,Cropland_HI,Cropland,Cropland_arable_other
2006,Arable irrigated,Cropland,IR,Cropland_arable,4_high,Arable cropland,ACRP,Cropland_arable_4_high,Cropland_arable_4_high,Cropland_arable_other,Cropland_IR,Cropland,Cropland_arable_other
3001,Permanent very low intensity,Cropland_other,"",Cropland_permanent,2_low,Permanent crops,PCRP,Cropland_permanent_2_low,Cropland_permanent_2_low,Cropland_permanent_other,Cropland_other,Cropland,Cropland_permanent_other
3002,Permanent low intensity,Cropland_other,"",Cropland_permanent,2_low,Permanent crops,PCRP,Cropland_permanent_2_low,Cropland_permanent_2_low,Cropland_permanent_other,Cropland_other,Cropland,Cropland_permanent_other
3003,Permanent medium intensity,Cropland_other,"",Cropland_permanent,3_medium,Permanent crops,PCRP,Cropland_permanent_3_medium,Cropland_permanent_3_medium,Cropland_permanent_other,Cropland_other,Cropland,Cropland_permanent_other
3004,Permanent high intensity,Cropland_other,"",Cropland_permanent,4_high,Permanent crops,PCRP,Cropland_permanent_4_high,Cropland_permanent_4_high,Cropland_permanent_other,Cropland_other,Cropland,Cropland_permanent_other
3005,Permanent very high intensity,Cropland_other,"",Cropland_permanent,4_high,Permanent crops,PCRP,Cropland_permanent_4_high,Cropland_permanent_4_high,Cropland_permanent_other,Cropland_other,Cropland,Cropland_permanent_other
4012,Intensive heterogeneous grassland classes,Pasture,HI,Grassland,3_medium,Pastures,PAST,Grassland_3_medium,Grassland_3_medium,Grassland,Pasture_HI,Pasture,Grassland_intensive
4013,Extensive heterogeneous grassland classes,Pasture,LI,Grassland,2_low,Pastures,PAST,Grassland_2_low,Grassland_2_low,Grassland,Pasture_LI,Pasture,Grassland_extensive
10000,Leftover forest,Natural_unmanaged,"",Natural_unmanaged,"",Woodland and forest,WOFO,Natural_unmanaged,Natural_1_shrubland,Natural_unmanaged,Natural_shrubland,Natural,Natural_unmanaged
20000,Leftover cropland,Natural_unmanaged,"",Natural_unmanaged,"",Heterogeneous agricultural areas,HCRP,Natural_unmanaged,Grassland_1_unmanaged,Natural_unmanaged,Natural_grassland,Natural,Natural_unmanaged
40000,Leftover grassland,Natural_unmanaged,"",Natural_unmanaged,"",Heathland and shrub,HEAS,Natural_unmanaged,Grassland_1_unmanaged,Natural_unmanaged,Natural_grassland,Natural,Natural_unmanaged
9999,NODATA,NODATA,"",NODATA,"",NODATA,NODA,NODATA,NODATA,NODATA,NODATA,"",NODATA
14999,Agroforestry organic,Cropland,LIO,"","",Heterogeneous agricultural areas organic,HCRP,"","","",Cropland_LIO,Cropland,Cropland_arable_other
15999,Very high density managed pasture system organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_intensive
16999,High density managed pasture system organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_intensive
17999,Moderate density managed pasture system organic,Pasture,LIO,"","",Pastures organic,PAST,"","","",Pasture_LIO,Pasture,Grassland_extensive
18999,Low density managed pasture system organic,Pasture,LIO,"","",Pastures organic,PAST,"","","",Pasture_LIO,Pasture,Grassland_extensive
19999,Very high density managed grassland organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_intensive
20999,High density managed grassland organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_intensive
21999,Moderate density managed grassland organic,Pasture,LIO,"","",Pastures organic,PAST,"","","",Pasture_LIO,Pasture,Grassland_extensive
22999,Low density managed grassland organic,Pasture,LIO,"","",Pastures organic,PAST,"","","",Pasture_LIO,Pasture,Grassland_extensive
23999,Rough grazing organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_extensive
24999,Silvo-pastoral agroforestry organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_extensive
25999,Managed semi-natural and natural grassland organic,Pasture,LIO,"","",Pastures organic,PAST,"","","",Pasture_LIO,Pasture,Grassland_extensive
26999,Unmanaged semi-natural and natural grassland organic,Pasture,LIO,"","",Grassland organic,GRSL,"","","",Pasture_LIO,Pasture,Natural_unmanaged
2001999,Arable very low intensity organic,Cropland,LIO,"","",Arable cropland organic,ACRP,"","","",Cropland_LIO,Cropland,Cropland_arable_other
2002999,Arable low intensity organic,Cropland,LIO,"","",Arable cropland organic,ACRP,"","","",Cropland_LIO,Cropland,Cropland_arable_other
2003999,Arable medium intensity organic,Cropland,LIO,"","",Arable cropland organic,ACRP,"","","",Cropland_LIO,Cropland,Cropland_arable_other
2004999,Arable high intensity organic,Cropland,HIO,"","",Arable cropland organic,ACRP,"","","",Cropland_HIO,Cropland,Cropland_arable_other
2005999,Arable very high intensity organic,Cropland,LIO,"","",Arable cropland organic,ACRP,"","","",Cropland_LIO,Cropland,Cropland_arable_other
2006999,Arable irrigated organic,Cropland,IRO,"","",Arable cropland organic,ACRP,"","","",Cropland_IRO,Cropland,Cropland_arable_other
3001999,Permanent very low intensity organic,Cropland_other,O,"","",Permanent crops organic,PCRP,"","","",Cropland_other_O,Cropland,Cropland_permanent_other
3002999,Permanent low intensity organic,Cropland_other,O,"","",Permanent crops organic,PCRP,"","","",Cropland_other_O,Cropland,Cropland_permanent_other
3003999,Permanent medium intensity organic,Cropland_other,O,"","",Permanent crops organic,PCRP,"","","",Cropland_other_O,Cropland,Cropland_permanent_other
3004999,Permanent high intensity organic,Cropland_other,O,"","",Permanent crops organic,PCRP,"","","",Cropland_other_O,Cropland,Cropland_permanent_other
3005999,Permanent very high intensity organic,Cropland_other,O,"","",Permanent crops organic,PCRP,"","","",Cropland_other_O,Cropland,Cropland_permanent_other
4012999,Intensive heterogeneous grassland classes organic,Pasture,HIO,"","",Pastures organic,PAST,"","","",Pasture_HIO,Pasture,Grassland_intensive
4013999,Extensive heterogeneous grassland classes organic,Pasture,LIO,"","",Pastures organic,PAST,"","","",Pasture_LIO,Pasture,Grassland_extensive
